CpNo SMILES VP_N_BP_N_ParA VP_N_BP_N_ParB VP_N_BP_SB_ParA VP_N_BP_SB_ParB VP_N_BP_JR_ParA VP_N_BP_JR_ParB VP_MY_BP_N_ParA VP_MY_BP_N_ParB VP_MY_BP_SB_ParA VP_MY_BP_SB_ParB VP_MY_BP_JR_ParA VP_MY_BP_JR_ParB EVAP_ParA EVAP_ParB EVAP2_ParA EVAP2_ParB SIMPOL_ParA SIMPOL_ParB
2 O=C(OON(=O)=O)CC(=O)CC(=O)C(=O)C 4.02465E+00 -5.59179E+04 4.02945E+00 -5.61315E+04 4.36236E+00 -6.78662E+04 3.42632E+00 -4.82937E+04 3.42314E+00 -4.84422E+04 3.22763E+00 -5.60117E+04 3.95175E+00 -5.22149E+04 3.95175E+00 -5.22149E+04 -2.85946E-01 -3.07765E+04
3 O=N(=O)OOC(=O)C(O)C(=O)C 3.86823E+00 -4.58114E+04 3.87637E+00 -4.65581E+04 3.98605E+00 -5.35923E+04 3.63107E+00 -4.22359E+04 3.62134E+00 -4.28385E+04 3.51243E+00 -4.82142E+04 3.68279E+00 -4.16360E+04 3.68279E+00 -4.16360E+04 1.06422E+00 -3.27168E+04
4 O=CC=O 3.49609E+00 -3.04243E+04 3.55441E+00 -2.55987E+04 3.60638E+00 -2.29600E+04 3.36456E+00 -2.83153E+04 3.30285E+00 -2.33061E+04 3.23048E+00 -2.03549E+04 3.22044E+00 -2.03543E+04 3.22044E+00 -2.03543E+04 3.72345E+00 -2.76110E+04
5 O=N(=O)OC1(C)C(=O)CC(=O)C(O)C1=O 4.49012E+00 -6.60186E+04 4.66301E+00 -7.17691E+04 6.05734E+00 -1.03529E+05 3.22950E+00 -5.16564E+04 3.12328E+00 -5.49285E+04 2.51749E+00 -6.99032E+04 5.11145E+00 -6.07556E+04 5.11145E+00 -6.07556E+04 4.27214E-01 -4.50574E+04
6 CON(=O)=O 3.40141E+00 -2.14661E+04 3.40745E+00 -2.12067E+04 3.41512E+00 -2.08867E+04 3.23655E+00 -2.02264E+04 3.22639E+00 -1.99056E+04 3.21323E+00 -1.95070E+04 3.39962E+00 -2.06491E+04 3.39962E+00 -2.06491E+04 3.43184E+00 -2.15645E+04
7 OCC(=O)C(=O)C=O 3.72574E+00 -4.49438E+04 3.72072E+00 -4.45026E+04 3.75647E+00 -4.72790E+04 3.61973E+00 -4.35279E+04 3.62708E+00 -4.31604E+04 3.57867E+00 -4.54326E+04 4.57764E+00 -4.04828E+04 4.57764E+00 -4.04828E+04 1.85109E+00 -3.64117E+04
8 O=CCC(=O)CC(C(=O)C)C(C)(C)ON(=O)=O 4.11787E+00 -5.89952E+04 4.12306E+00 -5.92009E+04 4.68242E+00 -7.61357E+04 3.40949E+00 -5.03637E+04 3.40628E+00 -5.05018E+04 3.11062E+00 -6.07724E+04 4.43496E+00 -6.25320E+04 4.43496E+00 -6.25320E+04 2.34047E+00 -5.21128E+04
9 CC(=O)C(=O)COO 3.53118E+00 -4.19318E+04 3.51497E+00 -4.02046E+04 3.54472E+00 -4.31166E+04 3.65040E+00 -4.29922E+04 3.67799E+00 -4.14351E+04 3.62999E+00 -4.40358E+04 4.10483E+00 -3.92082E+04 4.10483E+00 -3.92082E+04 1.47946E+00 -2.89941E+04
10 CC(=O)C(=O)CC(=O)COO 3.92530E+00 -5.45601E+04 3.87581E+00 -5.22149E+04 4.10107E+00 -6.13413E+04 3.48290E+00 -5.03713E+04 3.52668E+00 -4.86372E+04 3.34683E+00 -5.50932E+04 4.39862E+00 -5.01354E+04 4.39862E+00 -5.01354E+04 7.23053E-01 -3.43055E+04
11 O=CCC1CC(C(=O)CO)C1(C)C 3.88657E+00 -5.14559E+04 3.91679E+00 -5.30209E+04 4.13337E+00 -6.17533E+04 3.48125E+00 -4.68647E+04 3.45359E+00 -4.80151E+04 3.28466E+00 -5.40135E+04 4.21323E+00 -4.93735E+04 4.21323E+00 -4.93735E+04 3.04502E+00 -5.10269E+04
