Selected properties of the different identified k-means clusters.
 
YaxisChoice = log10(act.coeff_ratio)
Number of clusters =  37
 
legend:  cc-x, cc-y = cluster center x and y coordinates (log-scale where applicable); icsc = index of cluster surrogate component; cpop = cluster population number;
 
No.        cc-x           cc-y       icsc    cpop
-------------------------------------------------
001   -8.08844E-01    1.84248E-01    0127    0010
002   -4.74190E-02   -1.72950E+00    0069    0005
003   -2.73396E+00   -1.49848E+00    0036    0011
004   -5.91724E+00   -5.31778E-01    0093    0002
005   -5.32106E-01   -2.10160E+00    0090    0002
006   -3.53643E-01   -1.89634E+00    0011    0005
007   -3.53330E+00   -1.53850E+00    0075    0008
008   -5.29944E+00   -1.30153E+00    0087    0002
009   -5.55385E+00   -6.68970E-01    0078    0005
010   -5.30308E+00    7.24379E-01    0062    0002
011   -1.67645E+00   -2.75008E-01    0050    0010
012   -1.38482E+00   -2.24199E+00    0053    0005
013   -4.65332E+00   -1.33382E+00    0094    0008
014   -4.91672E+00   -3.22590E-02    0109    0005
015   -4.72897E+00    6.89522E-01    0131    0002
016   -1.32981E+00   -1.02963E+00    0065    0011
017   -1.96750E+00   -2.09065E+00    0072    0008
018   -1.68136E+00   -1.53490E+00    0034    0010
019   -6.49135E+00   -4.99581E-01    0027    0002
020   -2.46541E+00    2.84220E-01    0032    0012
021   -2.12412E+00   -4.46018E-01    0021    0010
022   -5.51053E-01    1.84678E-01    0022    0018
023   -3.64837E+00   -9.13639E-01    0095    0002
024   -3.71621E+00   -2.02605E-01    0135    0002
025   -3.86153E+00    7.32322E-01    0161    0008
026   -1.64203E+00   -2.30115E+00    0059    0002
027   -1.43598E+00    7.57165E-01    0026    0012
028   -3.15023E+00   -1.45656E+00    0106    0005
029   -3.31948E+00   -1.57881E+00    0058    0005
030   -1.01717E+00   -1.96282E+00    0149    0002
031   -2.23420E+00   -3.38664E+00    0110    0005
032   -1.11947E+00   -2.30338E+00    0138    0011
033   -2.27001E+00   -1.71599E+00    0134    0012
034   -3.59328E+00   -8.33438E-01    0133    0005
035   -6.19263E-01   -1.24582E+00    0105    0005
036   -1.73663E-01   -2.52314E+00    0084    0005
037    1.31315E+00   -2.24557E+00    0049    0073
 
 
List of components and to which cluster they belong:
Comp_no.,  cluster_no
---------------------
00002,     00001
00003,     00037
00004,     00037
00005,     00011
00006,     00037
00007,     00037
00008,     00003
00009,     00037
00010,     00022
00011,     00006
00012,     00007
00013,     00037
00014,     00037
00015,     00001
00016,     00037
00017,     00037
00018,     00033
00019,     00016
00020,     00037
00021,     00021
00022,     00022
00023,     00033
00024,     00027
00025,     00037
00026,     00027
00027,     00019
00028,     00021
00029,     00037
00030,     00037
00031,     00037
00032,     00020
00033,     00033
00034,     00018
00035,     00037
00036,     00003
00037,     00037
00038,     00020
00039,     00037
00040,     00037
00041,     00037
00042,     00037
00043,     00025
00044,     00037
00045,     00037
00046,     00013
00047,     00037
00048,     00037
00049,     00037
00050,     00011
00051,     00037
00052,     00032
00053,     00012
00054,     00037
00055,     00018
00056,     00037
00057,     00003
00058,     00029
00059,     00026
00060,     00037
00061,     00035
00062,     00010
00063,     00033
00064,     00020
00065,     00016
00066,     00037
00067,     00037
00068,     00037
00069,     00002
00070,     00011
00071,     00017
00072,     00017
00073,     00037
00074,     00014
00075,     00007
00076,     00022
00077,     00037
00078,     00009
00079,     00020
00080,     00037
00081,     00037
00082,     00037
00083,     00021
00084,     00036
00085,     00032
00086,     00013
00087,     00008
00088,     00037
00089,     00006
00090,     00005
00091,     00037
00092,     00002
00093,     00004
00094,     00013
00095,     00023
00096,     00037
00097,     00016
00098,     00027
00099,     00022
00100,     00016
00101,     00037
00102,     00037
00103,     00037
00104,     00031
00105,     00035
00106,     00028
00107,     00037
00108,     00022
00109,     00014
00110,     00031
00111,     00037
00112,     00037
00113,     00032
00114,     00007
00115,     00022
00116,     00037
00117,     00003
00118,     00037
00119,     00037
00120,     00037
00121,     00037
00122,     00037
00123,     00017
00124,     00037
00125,     00037
00126,     00029
00127,     00001
00128,     00003
00129,     00037
00130,     00012
00131,     00015
00132,     00037
00133,     00034
00134,     00033
00135,     00024
00136,     00021
00137,     00025
00138,     00032
00139,     00037
00140,     00037
00141,     00037
00142,     00037
00143,     00032
00144,     00022
00145,     00037
00146,     00022
00147,     00037
00148,     00037
00149,     00030
00150,     00034
00151,     00037
00152,     00027
00153,     00020
00154,     00037
00155,     00027
00156,     00037
00157,     00033
00158,     00011
00159,     00036
00160,     00037
00161,     00025
00162,     00020
00163,     00037
00164,     00018
00165,     00037
00166,     00027
00167,     00018
00168,     00037
00169,     00037
00170,     00009
00171,     00037
00172,     00037
00173,     00001
00174,     00016
00175,     00028
