===================================================================================================================
Lumping method ** FullSystem ** | Organic surrogate components total (gas + condensed) composition | psat calculated by EVAP method at T = 298.15 K
YaxisChoice = log10(act.coeff_ratio)
Grid resolution = fullRes
===================================================================================================================
 
nneutral (full system) : 0175; # of organic surrogate components: 0174
 
Comp_ID, TotMassConc_lumped_[ug/m^3], ntot_lumped_[mol/m^3], TotMassConc_original_[ug/m^3], ntot_original_[mol/m^3], Molar_mass_[kg/mol]
002,        1.440629E-03,        6.182690E-12,        1.440629E-03,        6.182690E-12,        2.330100E-01
003,        1.146731E-07,        6.405030E-16,        1.146731E-07,        6.405030E-16,        1.790360E-01
004,        1.181547E-03,        2.037150E-11,        1.181547E-03,        2.037150E-11,        5.800000E-02
005,        1.249681E-23,        5.704950E-32,        1.249681E-23,        5.704950E-32,        2.190520E-01
006,        3.287775E-13,        4.324540E-21,        3.287775E-13,        4.324540E-21,        7.602600E-02
007,        6.227786E-08,        5.322530E-16,        6.227786E-08,        5.322530E-16,        1.170080E-01
008,        6.068069E-08,        2.475530E-16,        6.068069E-08,        2.475530E-16,        2.451220E-01
009,        6.130287E-04,        5.150030E-12,        6.130287E-04,        5.150030E-12,        1.190340E-01
010,        8.366409E-04,        5.195430E-12,        8.366409E-04,        5.195430E-12,        1.610340E-01
011,        2.143722E-01,        1.157630E-09,        2.143722E-01,        1.157630E-09,        1.851820E-01
012,        2.131613E-02,        1.210250E-10,        2.131613E-02,        1.210250E-10,        1.761300E-01
013,        5.444644E-04,        4.498070E-12,        5.444644E-04,        4.498070E-12,        1.210440E-01
014,        9.546536E-16,        1.289480E-23,        9.546536E-16,        1.289480E-23,        7.403400E-02
015,        2.561803E-06,        1.730130E-14,        2.561803E-06,        1.730130E-14,        1.480700E-01
016,        2.468902E-05,        2.372940E-13,        2.468902E-05,        2.372940E-13,        1.040440E-01
017,        1.326793E-01,        5.739320E-10,        1.326793E-01,        5.739320E-10,        2.311760E-01
018,        4.532783E-05,        2.409030E-13,        4.532783E-05,        2.409030E-13,        1.881580E-01
019,        4.161363E-03,        2.079330E-11,        4.161363E-03,        2.079330E-11,        2.001300E-01
020,        8.870977E-09,        9.854670E-17,        8.870977E-09,        9.854670E-17,        9.001800E-02
021,        3.039388E-02,        1.615510E-10,        3.039388E-02,        1.615510E-10,        1.881380E-01
022,        2.103814E-02,        1.331090E-10,        2.103814E-02,        1.331090E-10,        1.580520E-01
023,        3.647915E-04,        2.277840E-12,        3.647915E-04,        2.277840E-12,        1.601480E-01
024,        1.643022E-04,        8.738640E-13,        1.643022E-04,        8.738640E-13,        1.880180E-01
025,        8.472158E-01,        5.424820E-09,        8.472158E-01,        5.424820E-09,        1.561740E-01
026,        1.044418E-02,        7.150610E-11,        1.044418E-02,        7.150610E-11,        1.460600E-01
027,        4.682899E-01,        2.271730E-09,        4.682899E-01,        2.271730E-09,        2.061380E-01
028,        1.576503E-19,        7.763350E-28,        1.576503E-19,        7.763350E-28,        2.030700E-01
029,        6.956031E-05,        9.148580E-13,        6.956031E-05,        9.148580E-13,        7.603400E-02
030,        2.326330E-02,        2.040640E-10,        2.326330E-02,        2.040640E-10,        1.140000E-01
031,        9.002104E-19,        2.809470E-26,        9.002104E-19,        2.809470E-26,        3.204200E-02
