===================================================================================================================
Lumping method ** Kmeans ** | Organic surrogate components total (gas + condensed) composition | psat calculated by EVAP method at T = 298.15 K
YaxisChoice = log10(act.coeff_ratio)
Grid resolution = 10x05
===================================================================================================================
 
nneutral (full system) : 0175; # of organic surrogate components: 0037
 
Comp_ID, TotMassConc_lumped_[ug/m^3], ntot_lumped_[mol/m^3], TotMassConc_original_[ug/m^3], ntot_original_[mol/m^3], Molar_mass_[kg/mol]
011,        2.458315E-01,        1.327513E-09,        2.143722E-01,        1.157630E-09,        1.851820E-01
021,        3.039388E-02,        1.615510E-10,        3.039388E-02,        1.615510E-10,        1.881380E-01
022,        2.208519E-02,        1.397337E-10,        2.103814E-02,        1.331090E-10,        1.580520E-01
026,        1.132065E-02,        7.750686E-11,        1.044418E-02,        7.150610E-11,        1.460600E-01
027,        4.682899E-01,        2.271730E-09,        4.682899E-01,        2.271730E-09,        2.061380E-01
032,        1.999374E-03,        1.233725E-11,        1.793761E-03,        1.106850E-11,        1.620600E-01
034,        2.808396E-01,        1.775511E-09,        2.570944E-01,        1.625390E-09,        1.581740E-01
036,        3.636176E+00,        1.682402E-08,        3.635004E+00,        1.681860E-08,        2.161300E-01
049,        1.267302E+01,        8.913742E-08,        3.048808E-02,        2.144420E-10,        1.421740E-01
050,        4.749676E-02,        2.728884E-10,        4.717279E-02,        2.710270E-10,        1.740520E-01
053,        8.715815E-02,        5.004602E-10,        7.807605E-02,        4.483110E-10,        1.741560E-01
058,        2.997225E-01,        1.497310E-09,        2.997225E-01,        1.497310E-09,        2.001740E-01
059,        4.175943E-01,        2.086240E-09,        4.175943E-01,        2.086240E-09,        2.001660E-01
062,        1.822165E-03,        1.110670E-11,        1.822165E-03,        1.110670E-11,        1.640600E-01
065,        2.871184E-01,        1.434659E-09,        2.829298E-01,        1.413730E-09,        2.001300E-01
069,        2.477204E-01,        1.586527E-09,        2.458924E-01,        1.574820E-09,        1.561400E-01
072,        1.570373E-01,        6.353259E-10,        8.677237E-02,        3.510550E-10,        2.471760E-01
075,        6.730982E-01,        3.615581E-09,        6.517821E-01,        3.501080E-09,        1.861660E-01
078,        7.976381E-03,        4.528690E-11,        7.976329E-03,        4.528660E-11,        1.761300E-01
084,        4.021021E-02,        1.640055E-10,        4.018042E-02,        1.638840E-10,        2.451760E-01
087,        1.700190E-01,        8.940180E-10,        1.700190E-01,        8.940180E-10,        1.901740E-01
090,        9.272737E-01,        5.449230E-09,        9.272737E-01,        5.449230E-09,        1.701660E-01
093,        1.509402E-01,        6.856370E-10,        1.509402E-01,        6.856370E-10,        2.201460E-01
094,        5.589952E-01,        2.737730E-09,        5.589952E-01,        2.737730E-09,        2.041820E-01
095,        4.605782E-01,        2.256210E-09,        4.605782E-01,        2.256210E-09,        2.041380E-01
105,        2.017594E-01,        1.171834E-09,        2.007291E-01,        1.165850E-09,        1.721740E-01
106,        8.743207E-02,        4.045346E-10,        7.617091E-02,        3.524310E-10,        2.161300E-01
109,        3.834551E-02,        2.016720E-10,        3.834551E-02,        2.016720E-10,        1.901380E-01
110,        6.306225E-01,        3.386002E-09,        6.303726E-01,        3.384660E-09,        1.862440E-01
127,        9.077784E-02,        5.743543E-10,        8.931487E-02,        5.650980E-10,        1.580520E-01
131,        8.324643E-04,        4.674980E-12,        8.324643E-04,        4.674980E-12,        1.780680E-01
133,        2.121300E-01,        1.217920E-09,        2.121300E-01,        1.217920E-09,        1.741740E-01
134,        2.468845E+00,        1.312001E-08,        2.452792E+00,        1.303470E-08,        1.881740E-01
135,        8.362085E-03,        5.222060E-11,        8.362085E-03,        5.222060E-11,        1.601300E-01
138,        1.386339E+00,        6.925949E-09,        1.316992E+00,        6.579500E-09,        2.001660E-01
149,        9.888517E-01,        5.369350E-09,        9.888517E-01,        5.369350E-09,        1.841660E-01
161,        9.914838E-04,        5.696480E-12,        9.914837E-04,        5.696480E-12,        1.740520E-01
