===================================================================================================================
Lumping method ** FullSystem ** | Pure organic component vapor pressure, param. A and B computed using EVAPORATION method | YaxisChoice = log10(act.coeff_ratio)
===================================================================================================================
 
nneutral (full system) : 175; # of organic surrogate components: 174
 
  EVAPParam_A,      EVAPParam_B,       SMILES                                                                                                                                                                                                                                                               
 3.951750E+00,    -5.221490E+04,    O=C(OON(=O)=O)CC(=O)CC(=O)C(=O)C                                                                                                                                                                        
 3.682790E+00,    -4.163600E+04,    O=N(=O)OOC(=O)C(O)C(=O)C                                                                                                                                                                                
 3.220440E+00,    -2.035430E+04,    O=CC=O                                                                                                                                                                                                  
 5.111450E+00,    -6.075560E+04,    O=N(=O)OC1(C)C(=O)CC(=O)C(O)C1=O                                                                                                                                                                        
 3.399620E+00,    -2.064910E+04,    CON(=O)=O                                                                                                                                                                                               
 4.577640E+00,    -4.048280E+04,    OCC(=O)C(=O)C=O                                                                                                                                                                                         
 4.434960E+00,    -6.253200E+04,    O=CCC(=O)CC(C(=O)C)C(C)(C)ON(=O)=O                                                                                                                                                                      
 4.104830E+00,    -3.920820E+04,    CC(=O)C(=O)COO                                                                                                                                                                                          
 4.398620E+00,    -5.013540E+04,    CC(=O)C(=O)CC(=O)COO                                                                                                                                                                                    
 4.213230E+00,    -4.937350E+04,    O=CCC1CC(C(=O)CO)C1(C)C                                                                                                                                                                                 
 4.506020E+00,    -6.803290E+04,    O=CCC(C(=O)O)C(C)(C)OO                                                                                                                                                                                  
 3.041760E+00,    -2.264080E+04,    CC(=O)OON(=O)=O                                                                                                                                                                                         
 3.622120E+00,    -2.974440E+04,    CC(=O)CO                                                                                                                                                                                                
 3.858600E+00,    -4.925750E+04,    CC(=O)C(O)CC(=O)OO                                                                                                                                                                                      
 3.826890E+00,    -3.568620E+04,    OOC(=O)CC=O                                                                                                                                                                                             
 3.516720E+00,    -4.226990E+04,    O=CCC1CC(C(=O)OON(=O)=O)C1(C)C                                                                                                                                                                          
 4.382080E+00,    -5.901590E+04,    OOC(=O)C1CC(C(=O)O)C1(C)C                                                                                                                                                                               
 4.121880E+00,    -5.602860E+04,    O=CCC(=O)CC(C(=O)C)C(C)(C)O                                                                                                                                                                             
 3.763910E+00,    -3.286470E+04,    OOC(=O)C=O                                                                                                                                                                                              
 4.800110E+00,    -6.141730E+04,    OCC(CC(=O)C(=O)C)C(C)(C)O                                                                                                                                                                               
 4.002130E+00,    -4.927690E+04,    O=CCC(=O)CC(O)C(=O)C                                                                                                                                                                                    
 4.429090E+00,    -5.921580E+04,    OOC1CC(C(=O)O)C1(C)C                                                                                                                                                                                    
 4.668460E+00,    -5.621480E+04,    OOC(=O)CC(=O)CC(=O)C(=O)C                                                                                                                                                                               
 4.324650E+00,    -4.395830E+04,    OCC1CC(C(=O)C)C1(C)C                                                                                                                                                                                    
 4.756510E+00,    -5.763540E+04,    CC(=O)C(=O)CC(O)CO                                                                                                                                                                                      
 5.156740E+00,    -8.573650E+04,    OCC(CC(=O)C(=O)O)C(C)(C)OO                                                                                                                                                                              
 5.277170E+00,    -6.695110E+04,    O=C1CC(O)C(C)(ON(=O)=O)C(=O)C1                                                                                                                                                                          
 3.428680E+00,    -2.960680E+04,    OOCC=O                                                                                                                                                                                                  
 3.727520E+00,    -3.250040E+04,    O=CCC(=O)C(=O)C                                                                                                                                                                                         
 3.643850E+00,    -2.150770E+04,    CO                                                                                                                                                                                                      
 4.859410E+00,    -6.347990E+04,    OCC(OO)CC(=O)C(=O)C                                                                                                                                                                                     
 4.609480E+00,    -6.120610E+04,    O=CCC(CC(=O)C(=O)C)C(C)(C)ON(=O)=O                                                                                                                                                                      
 4.481350E+00,    -5.764410E+04,    OCC1CC(C(=O)O)C1(C)C                                                                                                                                                                                    
 3.516720E+00,    -4.226990E+04,    O=N(=O)OOC(=O)C1CC(C(=O)C)C1(C)C                                                                                                                                                                        
 4.681820E+00,    -6.394850E+04,    O=CCC(CC(=O)C(=O)C)C(C)(C)OO                                                                                                                                                                            
 3.891080E+00,    -4.053400E+04,    OOCC(=O)CC=O                                                                                                                                                                                            
 4.322940E+00,    -6.164990E+04,    O=CCC(OO)C(=O)O                                                                                                                                                                                         
 3.836300E+00,    -4.346400E+04,    CC(=O)C(O)CO                                                                                                                                                                                            
 4.529080E+00,    -4.745160E+04,    OCC(=O)CC(=O)C(=O)C                                                                                                                                                                                     
 3.927870E+00,    -4.522170E+04,    O=CCC(CC=O)ON(=O)=O                                                                                                                                                                                     
 3.538950E+00,    -4.261350E+04,    O=CCC(=O)CC(=O)OON(=O)=O                                                                                                                                                                                
 4.868570E+00,    -6.976510E+04,    OCC(O)CC(=O)C(=O)CO                                                                                                                                                                                     
 4.235290E+00,    -3.652430E+04,    CC(=O)C(=O)CO                                                                                                                                                                                           
 3.471960E+00,    -2.339150E+04,    COO                                                                                                                                                                                                     
 5.419940E+00,    -7.666930E+04,    OOC(C)(C)C1CC(=O)CC(=O)C1(C)ON(=O)=O                                                                                                                                                                    
